epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.24853,1.51333,4.10311,3.74915,1.69923,0.137,0.14359,0.12121,0.06321,0.13211,0.13846,0.0899,0.03988,1.5128,6.10195,6.90979,1.88204,0.00020004,0.00020004,0.00020004
2,8.96342,1.13527,2.53107,1.81575,1.26919,0.18286,0.31854,0.1657,0.09907,0.18046,0.31323,0.14967,0.07381,1.64885,4.41745,4.39161,1.90395,0.000412624,0.000412624,0.000412624
3,12.6888,1.07232,2.23878,1.36839,1.23881,0.30323,0.40592,0.30855,0.1715,0.3685,0.26937,0.23833,0.09086,1.70043,5.62602,3.58656,2.42123,0.000620917,0.000620917,0.000620917
4,16.6283,1.17861,2.31503,1.36643,1.28379,0.04879,0.55156,0.04621,0.02071,0.04221,0.34626,0.02974,0.00916,1.79385,8.20858,35.1224,3.57245,0.00082492,0.00082492,0.00082492
5,20.4179,1.17831,2.23598,1.28353,1.33774,0.00676,0.16582,0.00537,0.0015,0.00044,0.01711,0.00019,8e-05,3.5699,17.0831,inf,6.12326,0.00102463,0.00102463,0.00102463
6,23.9416,1.17846,2.35312,1.39326,1.3916,0.02029,0.1274,0.00856,0.00258,0.00075,0.02824,0.00023,7e-05,3.70412,140.44,59.0594,10.7409,0.00122005,0.00122005,0.00122005
7,27.4402,1.18454,2.28909,1.27631,1.36257,0.03305,0.1419,0.01137,0.00449,0.00479,0.12399,0.00242,0.00074,3.38528,30.9445,82.1661,9.31456,0.00141118,0.00141118,0.00141118
8,30.9414,1.17767,2.23255,1.17722,1.33442,0.21282,0.37204,0.11513,0.05637,0.21101,0.30537,0.10601,0.04231,2.08014,7.70166,inf,4.15941,0.00155148,0.00155148,0.00155148
9,34.4108,1.18282,2.14889,1.15502,1.31434,0.05578,0.5053,0.04862,0.0255,0.05009,0.46347,0.0371,0.01538,1.57259,5.12195,31.1099,2.16975,0.00153497,0.00153497,0.00153497
10,38.1662,1.1577,2.11768,1.19778,1.30451,0.16842,0.48032,0.12307,0.06118,0.15869,0.42849,0.10681,0.0452,1.62122,5.08526,16.7284,2.15313,0.00151847,0.00151847,0.00151847
11,41.6603,1.14434,1.99685,1.13105,1.30841,0.11695,0.47035,0.09939,0.05282,0.10334,0.42322,0.07908,0.03353,1.49892,4.94315,9.51886,2.0779,0.00150197,0.00150197,0.00150197
12,45.2603,1.08926,2.07542,1.079,1.22025,0.28646,0.60119,0.30078,0.19009,0.26918,0.56845,0.27714,0.14125,1.26647,3.13453,5.29986,1.75896,0.00148546,0.00148546,0.00148546
13,48.8812,1.05868,1.94177,1.07666,1.24643,0.4525,0.54823,0.4331,0.27062,0.43886,0.53651,0.41739,0.22122,1.46815,3.266,3.01024,1.98884,0.00146896,0.00146896,0.00146896
14,52.4936,1.04699,2.00397,1.05708,1.24516,0.24271,0.44896,0.2399,0.13688,0.21042,0.37921,0.19724,0.08968,1.52933,3.64599,3.0729,1.81911,0.00145246,0.00145246,0.00145246
15,56.2648,1.06617,2.06246,1.05842,1.24322,0.29511,0.41226,0.2247,0.10863,0.21384,0.39515,0.15739,0.06555,1.65339,3.82027,2.67202,1.97627,0.00143595,0.00143595,0.00143595
16,59.7525,1.01511,1.95173,0.9951,1.24218,0.38701,0.51524,0.35143,0.22094,0.39312,0.51914,0.31887,0.15389,1.35238,3.33559,2.34418,1.75234,0.00141945,0.00141945,0.00141945
17,63.2041,1.00085,1.86862,1.05529,1.19799,0.40496,0.59431,0.4274,0.2663,0.39964,0.56851,0.40037,0.21432,1.1954,2.56208,2.60537,1.66524,0.00140295,0.00140295,0.00140295
18,66.6801,1.02623,1.82929,0.98331,1.21328,0.47939,0.58475,0.46479,0.31803,0.4722,0.58731,0.44586,0.23762,1.18883,2.82441,1.92029,1.60406,0.00138644,0.00138644,0.00138644
19,70.2778,1.07508,2.01698,1.05654,1.2863,0.5386,0.60467,0.52938,0.33835,0.50623,0.59773,0.49574,0.26423,1.23295,2.54375,1.68679,1.60677,0.00136994,0.00136994,0.00136994
20,73.9427,1.00079,1.80456,0.97401,1.19842,0.48067,0.60976,0.49281,0.31397,0.50095,0.5516,0.44011,0.22695,1.28061,2.7455,1.80509,1.59319,0.00135344,0.00135344,0.00135344
21,77.6425,0.96075,1.80211,0.86154,1.14429,0.4915,0.6483,0.50476,0.32677,0.47035,0.62775,0.47725,0.25974,1.13622,2.39757,1.58571,1.45445,0.00133693,0.00133693,0.00133693
22,81.1738,0.97087,1.83631,0.91483,1.15273,0.39233,0.52952,0.35654,0.21801,0.39181,0.52687,0.34384,0.18377,1.11499,2.30952,2.34753,1.44375,0.00132043,0.00132043,0.00132043
23,84.6313,0.90175,1.5739,0.82808,1.11295,0.55368,0.55619,0.50843,0.33885,0.55027,0.54913,0.48391,0.27129,1.1481,2.24287,1.64754,1.46139,0.00130393,0.00130393,0.00130393
24,88.3463,0.98649,1.83132,0.92453,1.19628,0.47558,0.53793,0.44863,0.28151,0.46741,0.4772,0.40689,0.21447,1.19809,2.26613,1.61521,1.57595,0.00128742,0.00128742,0.00128742
25,91.9073,0.92346,1.57613,0.83939,1.14373,0.49401,0.62744,0.47368,0.30307,0.48006,0.63804,0.45364,0.25288,1.09403,2.39114,1.9836,1.48463,0.00127092,0.00127092,0.00127092
26,95.397,0.92295,1.69237,0.88928,1.14048,0.46701,0.63247,0.48549,0.33598,0.45785,0.61448,0.47049,0.27353,1.07134,2.38995,1.47028,1.45721,0.00125442,0.00125442,0.00125442
27,99.0704,0.9098,1.73761,0.91138,1.15691,0.52491,0.64661,0.53372,0.37462,0.52978,0.60123,0.49877,0.30654,1.11929,2.38233,1.54236,1.4812,0.00123791,0.00123791,0.00123791
28,102.761,0.92588,1.51764,0.81009,1.18705,0.61867,0.57555,0.5696,0.37297,0.60035,0.55332,0.5271,0.30405,1.07046,2.44626,1.30626,1.44499,0.00122141,0.00122141,0.00122141
