epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27398,1.47485,3.93894,3.4155,1.48076,0.01273,0.51553,0.24049,0.16119,0.01152,0.43509,0.23586,0.13903,1.14615,2.94336,2.99048,1.20871,0.00020004,0.00020004,0.00020004
2,6.78459,1.18145,2.55433,2.93091,1.17095,0.01161,0.57629,0.25821,0.17361,0.00976,0.46765,0.21581,0.11586,1.20417,3.38852,2.97119,1.26479,0.000412624,0.000412624,0.000412624
3,9.20614,1.13674,2.21042,2.31838,1.13275,0.85507,0.23245,0.29858,0.20018,0.87123,0.19219,0.28407,0.15851,1.18399,2.83334,2.6155,1.34009,0.000620917,0.000620917,0.000620917
4,11.6038,1.17358,2.18576,1.81876,1.19467,0.87948,0.15128,0.27015,0.17307,0.90309,0.15641,0.26174,0.13248,1.20568,2.86267,2.61139,1.32122,0.00082492,0.00082492,0.00082492
5,13.9385,1.1461,2.21052,1.64723,1.1849,0.73365,0.22051,0.19353,0.11772,0.70321,0.17179,0.12814,0.05623,1.35026,4.21466,2.47173,1.47975,0.00102463,0.00102463,0.00102463
6,16.369,1.1682,2.25038,1.59973,1.23636,0.80555,0.2619,0.31816,0.20481,0.76303,0.2359,0.24186,0.12569,1.22852,3.53259,2.08473,1.44989,0.00122005,0.00122005,0.00122005
7,18.715,1.10324,2.08307,1.48989,1.19682,0.58708,0.34006,0.37707,0.24616,0.52185,0.30004,0.33811,0.19595,1.23281,2.95415,1.93894,1.46439,0.00141118,0.00141118,0.00141118
8,20.9971,1.1171,2.05999,1.33968,1.16583,0.31882,0.38479,0.28573,0.17029,0.30491,0.36684,0.24403,0.11999,1.26003,3.17094,1.96787,1.41819,0.00155148,0.00155148,0.00155148
9,23.3409,1.07705,2.03363,1.32428,1.1384,0.38759,0.37871,0.34955,0.22987,0.38213,0.40527,0.32039,0.18605,1.28251,2.68521,1.8744,1.45693,0.00153497,0.00153497,0.00153497
10,25.6081,1.0714,1.90932,1.30919,1.1231,0.53638,0.33692,0.37778,0.22738,0.37083,0.36821,0.32454,0.17358,1.34544,3.30472,2.04479,1.52158,0.00151847,0.00151847,0.00151847
11,28.0316,1.07199,1.88313,1.25053,1.14425,0.25086,0.29765,0.20947,0.11032,0.21996,0.27369,0.16534,0.07245,1.46996,3.44441,3.67751,1.66587,0.00150197,0.00150197,0.00150197
12,30.4195,1.02733,1.9004,1.26007,1.09732,0.22984,0.30632,0.17793,0.10023,0.21221,0.24816,0.14963,0.07453,1.59062,4.21362,2.76449,1.71338,0.00148546,0.00148546,0.00148546
13,33.003,1.00175,1.83423,1.25835,1.11744,0.23119,0.33969,0.18783,0.09384,0.20343,0.23017,0.11803,0.05366,1.72676,3.47263,3.34501,1.99453,0.00146896,0.00146896,0.00146896
14,35.2357,0.991,1.80251,1.19709,1.11378,0.41967,0.50508,0.40418,0.25766,0.38101,0.45464,0.33713,0.19498,1.21384,2.64107,1.89101,1.36238,0.00145246,0.00145246,0.00145246
15,37.5347,1.04692,1.89756,1.22137,1.14685,0.46408,0.61581,0.51914,0.34803,0.47855,0.4327,0.41661,0.23001,1.09082,2.86766,1.42083,1.28199,0.00143595,0.00143595,0.00143595
16,39.8813,0.96631,1.79936,1.10375,1.09384,0.59208,0.52083,0.52595,0.358,0.55407,0.49424,0.47913,0.28378,1.19461,2.80815,1.39083,1.39145,0.00141945,0.00141945,0.00141945
17,42.2111,0.95425,1.74258,1.07726,1.08467,0.44379,0.65066,0.51525,0.3362,0.41322,0.60292,0.4524,0.26275,1.11379,2.4536,1.47833,1.24259,0.00140295,0.00140295,0.00140295
18,44.5745,0.96772,1.72108,1.06873,1.0924,0.56212,0.53992,0.53045,0.36652,0.55195,0.5431,0.49451,0.29716,1.14489,2.49218,1.45542,1.26753,0.00138644,0.00138644,0.00138644
19,46.961,0.99791,1.88571,1.14756,1.12803,0.60062,0.52947,0.55529,0.39225,0.58037,0.50207,0.51173,0.30603,1.09035,2.25083,1.52285,1.21686,0.00136994,0.00136994,0.00136994
20,49.3609,0.97494,1.683,1.07304,1.09825,0.60066,0.54004,0.53467,0.36922,0.5718,0.49568,0.47146,0.28802,1.12783,2.41477,1.58062,1.27098,0.00135344,0.00135344,0.00135344
21,51.8525,0.95075,1.68618,0.99267,1.07492,0.48978,0.50572,0.41863,0.25412,0.42314,0.42305,0.31195,0.17938,1.30077,2.68106,2.04133,1.44411,0.00133693,0.00133693,0.00133693
22,54.0733,1.00917,1.78309,1.08136,1.09091,0.27793,0.29289,0.14204,0.07319,0.21175,0.24575,0.08995,0.03977,1.54677,3.53473,3.4188,1.7277,0.00132043,0.00132043,0.00132043
23,56.2729,0.91195,1.57613,0.98336,1.04844,0.28636,0.40903,0.21738,0.11738,0.26677,0.36793,0.20374,0.10891,1.38204,2.69144,2.74016,1.46338,0.00130393,0.00130393,0.00130393
24,58.7688,0.96046,1.74931,1.01651,1.08935,0.44345,0.6295,0.46838,0.31106,0.42715,0.56846,0.42837,0.25688,1.06276,2.14541,1.51678,1.16374,0.00128742,0.00128742,0.00128742
25,61.1719,0.9066,1.54815,0.99482,1.05464,0.48736,0.5268,0.45875,0.30335,0.39932,0.57475,0.39453,0.22159,1.32708,2.76265,1.37679,1.441,0.00127092,0.00127092,0.00127092
26,63.4407,0.88152,1.61718,0.93697,1.03687,0.54249,0.6863,0.5522,0.38937,0.51734,0.64845,0.5143,0.32591,1.053,2.14798,1.21618,1.26503,0.00125442,0.00125442,0.00125442
27,65.8013,0.92026,1.6379,0.9926,1.08176,0.55759,0.6235,0.55187,0.38955,0.52792,0.57812,0.4938,0.3043,1.01137,2.21707,1.35858,1.17718,0.00123791,0.00123791,0.00123791
