epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42447,1.60283,3.90494,3.30144,1.63389,0.22673,0.39066,0.26339,0.1825,0.23396,0.25385,0.24408,0.14137,1.19695,3.0641,4.95599,1.37724,0.00020004,0.00020004,0.00020004
2,6.98364,1.13314,2.44192,1.74446,1.21529,0.45175,0.44809,0.42139,0.27479,0.41249,0.41472,0.36087,0.20846,1.24081,3.60413,1.99879,1.46118,0.000414687,0.000414687,0.000414687
3,9.85783,1.04745,2.00533,1.35058,1.14254,0.24223,0.43776,0.32021,0.20626,0.23886,0.42494,0.3016,0.15751,1.34019,3.6768,2.20403,1.5987,0.000627189,0.000627189,0.000627189
4,12.5253,1.13684,2.17681,1.32981,1.22394,0.174,0.32677,0.11377,0.05626,0.15978,0.30794,0.08576,0.03739,1.80357,6.25808,3.89367,2.04726,0.000837545,0.000837545,0.000837545
5,15.2269,1.08465,2.19914,1.20585,1.18445,0.05822,0.50541,0.05204,0.02528,0.04509,0.38995,0.03242,0.01292,1.70007,7.49045,7.07968,1.93854,0.00104576,0.00104576,0.00104576
6,17.7337,1.15612,2.20288,1.24908,1.25663,0.2283,0.42124,0.24063,0.12388,0.24394,0.28617,0.17466,0.06547,1.75671,7.26664,2.8958,2.05681,0.00125182,0.00125182,0.00125182
7,20.228,1.12753,2.15403,1.20427,1.2447,0.25147,0.32251,0.15808,0.08208,0.23567,0.31398,0.13506,0.05609,1.82315,6.33116,2.79299,2.0251,0.00145574,0.00145574,0.00145574
8,22.7542,1.16369,2.08798,1.11879,1.2453,0.41262,0.3823,0.29437,0.15394,0.19952,0.19933,0.06794,0.02379,1.73967,7.18683,2.68555,2.02043,0.00160924,0.00160924,0.00160924
9,25.3266,1.13717,2.0955,1.11503,1.21289,0.23983,0.26765,0.15781,0.08649,0.12742,0.15392,0.05311,0.01589,1.69182,5.46528,3.68784,1.97623,0.00160099,0.00160099,0.00160099
10,27.7645,1.12118,1.97536,1.14305,1.19177,0.35169,0.59017,0.36915,0.22733,0.30927,0.52343,0.28059,0.12527,1.43379,5.72275,3.69305,1.73482,0.00159274,0.00159274,0.00159274
