left;top;right;bottom
1233149,497;5881495,316;1233277,497;5881367,316
1233149,497;5881367,316;1233277,497;5881239,316
1233149,497;5881239,316;1233277,497;5881111,316
1233277,497;5881623,316;1233405,497;5881495,316
1233277,497;5881495,316;1233405,497;5881367,316
1233277,497;5881367,316;1233405,497;5881239,316
1233277,497;5881239,316;1233405,497;5881111,316
1233277,497;5881111,316;1233405,497;5880983,316
1233405,497;5881879,316;1233533,497;5881751,316
1233405,497;5881751,316;1233533,497;5881623,316
1233405,497;5881623,316;1233533,497;5881495,316
1233405,497;5881495,316;1233533,497;5881367,316
1233405,497;5881367,316;1233533,497;5881239,316
1233405,497;5881239,316;1233533,497;5881111,316
1233405,497;5881111,316;1233533,497;5880983,316
1233405,497;5880983,316;1233533,497;5880855,316
1233533,497;5882135,316;1233661,497;5882007,316
1233533,497;5882007,316;1233661,497;5881879,316
1233533,497;5881879,316;1233661,497;5881751,316
1233533,497;5881751,316;1233661,497;5881623,316
1233533,497;5881623,316;1233661,497;5881495,316
1233533,497;5881495,316;1233661,497;5881367,316
1233533,497;5881367,316;1233661,497;5881239,316
1233533,497;5881239,316;1233661,497;5881111,316
1233533,497;5881111,316;1233661,497;5880983,316
1233533,497;5880983,316;1233661,497;5880855,316
1233533,497;5880855,316;1233661,497;5880727,316
1233533,497;5880727,316;1233661,497;5880599,316
1233661,497;5882263,316;1233789,497;5882135,316
1233661,497;5882135,316;1233789,497;5882007,316
1233661,497;5882007,316;1233789,497;5881879,316
1233661,497;5881879,316;1233789,497;5881751,316
1233661,497;5881751,316;1233789,497;5881623,316
1233661,497;5881623,316;1233789,497;5881495,316
1233661,497;5881495,316;1233789,497;5881367,316
1233661,497;5881367,316;1233789,497;5881239,316
1233661,497;5881239,316;1233789,497;5881111,316
1233661,497;5881111,316;1233789,497;5880983,316
1233661,497;5880983,316;1233789,497;5880855,316
1233661,497;5880855,316;1233789,497;5880727,316
1233661,497;5880727,316;1233789,497;5880599,316
1233789,497;5882263,316;1233917,497;5882135,316
1233789,497;5882135,316;1233917,497;5882007,316
1233789,497;5882007,316;1233917,497;5881879,316
1233789,497;5881879,316;1233917,497;5881751,316
1233789,497;5881751,316;1233917,497;5881623,316
1233789,497;5881623,316;1233917,497;5881495,316
1233789,497;5881495,316;1233917,497;5881367,316
1233789,497;5881367,316;1233917,497;5881239,316
1233789,497;5881239,316;1233917,497;5881111,316
1233789,497;5881111,316;1233917,497;5880983,316
1233789,497;5880983,316;1233917,497;5880855,316
1233789,497;5880855,316;1233917,497;5880727,316
1233789,497;5880727,316;1233917,497;5880599,316
1233789,497;5880599,316;1233917,497;5880471,316
1233917,497;5882391,316;1234045,497;5882263,316
1233917,497;5882263,316;1234045,497;5882135,316
1233917,497;5882135,316;1234045,497;5882007,316
1233917,497;5882007,316;1234045,497;5881879,316
1233917,497;5881879,316;1234045,497;5881751,316
1233917,497;5881751,316;1234045,497;5881623,316
1233917,497;5881623,316;1234045,497;5881495,316
1233917,497;5881495,316;1234045,497;5881367,316
1233917,497;5881367,316;1234045,497;5881239,316
1233917,497;5881239,316;1234045,497;5881111,316
1233917,497;5881111,316;1234045,497;5880983,316
1233917,497;5880983,316;1234045,497;5880855,316
1233917,497;5880855,316;1234045,497;5880727,316
1233917,497;5880727,316;1234045,497;5880599,316
1233917,497;5880599,316;1234045,497;5880471,316
1234045,497;5882519,316;1234173,497;5882391,316
1234045,497;5882391,316;1234173,497;5882263,316
1234045,497;5882263,316;1234173,497;5882135,316
1234045,497;5882135,316;1234173,497;5882007,316
1234045,497;5882007,316;1234173,497;5881879,316
1234045,497;5881879,316;1234173,497;5881751,316
1234045,497;5881751,316;1234173,497;5881623,316
1234045,497;5881623,316;1234173,497;5881495,316
1234045,497;5881495,316;1234173,497;5881367,316
1234045,497;5881367,316;1234173,497;5881239,316
1234045,497;5881239,316;1234173,497;5881111,316
1234045,497;5881111,316;1234173,497;5880983,316
1234045,497;5880983,316;1234173,497;5880855,316
1234045,497;5880855,316;1234173,497;5880727,316
1234045,497;5880727,316;1234173,497;5880599,316
1234045,497;5880599,316;1234173,497;5880471,316
1234173,497;5882647,316;1234301,497;5882519,316
1234173,497;5882519,316;1234301,497;5882391,316
1234173,497;5882391,316;1234301,497;5882263,316
1234173,497;5882263,316;1234301,497;5882135,316
1234173,497;5882135,316;1234301,497;5882007,316
1234173,497;5882007,316;1234301,497;5881879,316
1234173,497;5881879,316;1234301,497;5881751,316
1234173,497;5881751,316;1234301,497;5881623,316
1234173,497;5881623,316;1234301,497;5881495,316
1234173,497;5881495,316;1234301,497;5881367,316
1234173,497;5881367,316;1234301,497;5881239,316
1234173,497;5881239,316;1234301,497;5881111,316
1234173,497;5881111,316;1234301,497;5880983,316
1234173,497;5880983,316;1234301,497;5880855,316
1234173,497;5880855,316;1234301,497;5880727,316
1234173,497;5880727,316;1234301,497;5880599,316
1234173,497;5880599,316;1234301,497;5880471,316
1234301,497;5882775,316;1234429,497;5882647,316
1234301,497;5882647,316;1234429,497;5882519,316
1234301,497;5882519,316;1234429,497;5882391,316
1234301,497;5882391,316;1234429,497;5882263,316
1234301,497;5882263,316;1234429,497;5882135,316
1234301,497;5882135,316;1234429,497;5882007,316
1234301,497;5882007,316;1234429,497;5881879,316
1234301,497;5881879,316;1234429,497;5881751,316
1234301,497;5881751,316;1234429,497;5881623,316
1234301,497;5881623,316;1234429,497;5881495,316
1234301,497;5881495,316;1234429,497;5881367,316
1234301,497;5881367,316;1234429,497;5881239,316
1234301,497;5881239,316;1234429,497;5881111,316
1234301,497;5881111,316;1234429,497;5880983,316
1234301,497;5880983,316;1234429,497;5880855,316
1234301,497;5880855,316;1234429,497;5880727,316
1234301,497;5880727,316;1234429,497;5880599,316
1234301,497;5880599,316;1234429,497;5880471,316
1234301,497;5880471,316;1234429,497;5880343,316
1234429,497;5883159,316;1234557,497;5883031,316
1234429,497;5883031,316;1234557,497;5882903,316
1234429,497;5882903,316;1234557,497;5882775,316
1234429,497;5882775,316;1234557,497;5882647,316
1234429,497;5882647,316;1234557,497;5882519,316
1234429,497;5882519,316;1234557,497;5882391,316
1234429,497;5882391,316;1234557,497;5882263,316
1234429,497;5882263,316;1234557,497;5882135,316
1234429,497;5882135,316;1234557,497;5882007,316
1234429,497;5882007,316;1234557,497;5881879,316
1234429,497;5881879,316;1234557,497;5881751,316
1234429,497;5881751,316;1234557,497;5881623,316
1234429,497;5881623,316;1234557,497;5881495,316
1234429,497;5881495,316;1234557,497;5881367,316
1234429,497;5881367,316;1234557,497;5881239,316
1234429,497;5881239,316;1234557,497;5881111,316
1234429,497;5881111,316;1234557,497;5880983,316
1234429,497;5880983,316;1234557,497;5880855,316
1234429,497;5880855,316;1234557,497;5880727,316
1234429,497;5880727,316;1234557,497;5880599,316
1234429,497;5880599,316;1234557,497;5880471,316
1234429,497;5880471,316;1234557,497;5880343,316
1234557,497;5883415,316;1234685,497;5883287,316
1234557,497;5883287,316;1234685,497;5883159,316
1234557,497;5883159,316;1234685,497;5883031,316
1234557,497;5883031,316;1234685,497;5882903,316
1234557,497;5882903,316;1234685,497;5882775,316
1234557,497;5882775,316;1234685,497;5882647,316
1234557,497;5882647,316;1234685,497;5882519,316
1234557,497;5882519,316;1234685,497;5882391,316
1234557,497;5882391,316;1234685,497;5882263,316
1234557,497;5882263,316;1234685,497;5882135,316
1234557,497;5882135,316;1234685,497;5882007,316
1234557,497;5882007,316;1234685,497;5881879,316
1234557,497;5881879,316;1234685,497;5881751,316
1234557,497;5881751,316;1234685,497;5881623,316
1234557,497;5881623,316;1234685,497;5881495,316
1234557,497;5881495,316;1234685,497;5881367,316
1234557,497;5881367,316;1234685,497;5881239,316
1234557,497;5881239,316;1234685,497;5881111,316
1234557,497;5881111,316;1234685,497;5880983,316
1234557,497;5880983,316;1234685,497;5880855,316
1234557,497;5880855,316;1234685,497;5880727,316
1234557,497;5880727,316;1234685,497;5880599,316
1234557,497;5880599,316;1234685,497;5880471,316
1234557,497;5880471,316;1234685,497;5880343,316
1234557,497;5880343,316;1234685,497;5880215,316
1234685,497;5883543,316;1234813,497;5883415,316
1234685,497;5883415,316;1234813,497;5883287,316
1234685,497;5883287,316;1234813,497;5883159,316
1234685,497;5883159,316;1234813,497;5883031,316
1234685,497;5883031,316;1234813,497;5882903,316
1234685,497;5882903,316;1234813,497;5882775,316
1234685,497;5882775,316;1234813,497;5882647,316
1234685,497;5882647,316;1234813,497;5882519,316
1234685,497;5882519,316;1234813,497;5882391,316
1234685,497;5882391,316;1234813,497;5882263,316
