epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01131,1.45368,3.56774,3.06296,1.55456,0.74917,0.28974,0.26285,0.18117,0.75029,0.27692,0.24688,0.14541,1.07489,2.8588,4.9013,1.21885,0.00020004,0.00020004,0.00020004
2,7.27804,1.06064,2.40245,1.68088,1.19311,0.37657,0.44296,0.35283,0.22195,0.35496,0.42157,0.30501,0.15931,1.1951,3.06537,2.90038,1.4336,0.000412624,0.000412624,0.000412624
3,10.4275,1.0123,2.14233,1.40454,1.14735,0.36132,0.532,0.35162,0.19682,0.25232,0.37471,0.16269,0.06222,1.45555,7.68601,3.20684,1.72751,0.000620917,0.000620917,0.000620917
4,13.4558,1.0853,2.14017,1.29451,1.18659,0.11289,0.19909,0.08138,0.04026,0.10527,0.19347,0.06012,0.02239,2.51195,12.2192,5.12522,2.92588,0.00082492,0.00082492,0.00082492
5,16.4276,1.11538,2.03723,1.2059,1.20847,0.39046,0.12754,0.08539,0.03779,0.34065,0.11812,0.06266,0.02613,2.59241,18.3168,3.45246,2.82996,0.00102463,0.00102463,0.00102463
6,19.4724,1.13061,2.08183,1.15002,1.20266,0.30295,0.52599,0.33402,0.17397,0.22352,0.41138,0.21983,0.07655,1.68767,5.49282,2.76022,1.93958,0.00122005,0.00122005,0.00122005
7,22.9928,1.14038,2.19574,1.18467,1.1945,0.31535,0.35655,0.30076,0.16516,0.22818,0.23678,0.18232,0.07964,1.50839,4.83173,3.12559,1.75609,0.00141118,0.00141118,0.00141118
8,26.0199,1.10946,2.0824,1.15359,1.21252,0.40785,0.4027,0.32021,0.16797,0.36436,0.35908,0.28303,0.14138,1.5386,3.80611,2.63531,1.76826,0.00155148,0.00155148,0.00155148
9,29.0253,1.0836,2.09426,1.1535,1.1799,0.24613,0.40108,0.31662,0.2044,0.24561,0.2748,0.27096,0.12997,1.29387,4.06242,3.22512,1.52961,0.00153497,0.00153497,0.00153497
10,32.0447,1.0613,1.99158,1.13341,1.16872,0.38784,0.52339,0.39629,0.25038,0.34808,0.41988,0.3035,0.14185,1.33357,3.95033,3.44927,1.50773,0.00151847,0.00151847,0.00151847
11,35.1522,0.98929,1.84142,0.96109,1.12125,0.40861,0.39768,0.36899,0.22076,0.38139,0.36772,0.30311,0.14635,1.51702,3.44678,2.55209,1.77551,0.00150197,0.00150197,0.00150197
12,38.2026,1.00954,1.8642,1.01123,1.13551,0.40533,0.46431,0.40425,0.24935,0.37774,0.42157,0.34159,0.15704,1.29593,3.70211,2.42062,1.49431,0.00148546,0.00148546,0.00148546
13,41.289,0.99797,1.84752,0.98549,1.12483,0.50607,0.52664,0.47602,0.30043,0.49443,0.51826,0.44181,0.24587,1.21512,2.63997,2.09338,1.40681,0.00146896,0.00146896,0.00146896
