epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.86,1.34004,3.27727,2.47495,1.51821,0.4038,0.59819,0.48245,0.34762,0.42583,0.54015,0.47249,0.2715,0.75583,2.54823,4.49989,1.15624,0.00010002,0.00010002,0.00010002
2,247.352,0.94128,1.87359,1.53286,1.23254,0.64947,0.37869,0.53053,0.35479,0.55722,0.40146,0.53562,0.33318,1.02778,2.45287,2.21144,1.42804,0.000212419,0.000212419,0.000212419
3,368.162,0.87818,1.77434,1.35115,1.15106,0.67935,0.63406,0.68379,0.48637,0.67153,0.62676,0.67029,0.45077,1.00108,4.44344,1.80715,1.4368,0.000320197,0.000320197,0.000320197
4,492.71,0.90793,1.83014,1.25596,1.17591,0.78077,0.70073,0.754,0.54073,0.80673,0.70077,0.75328,0.50543,0.99775,4.71737,2.11345,1.39162,0.000423355,0.000423355,0.000423355
5,612.212,0.97195,1.71,1.2711,1.24194,0.19502,0.64964,0.48254,0.32926,0.17092,0.56934,0.39847,0.20367,1.09623,15.7558,42.9478,1.52342,0.000521891,0.000521891,0.000521891
6,731.747,0.97146,1.9055,1.13402,1.22935,0.6159,0.70073,0.72828,0.452,0.62232,0.70803,0.72182,0.41983,1.23916,7.0679,3.40837,1.90841,0.000615806,0.000615806,0.000615806
7,851.727,1.04554,1.78802,1.08332,1.2488,0.34146,0.83263,0.43967,0.24502,0.34146,0.83263,0.4499,0.24738,1.3462,6.69671,7.70706,2.501,0.000705101,0.000705101,0.000705101
8,971.472,1.07858,1.93551,1.23683,1.27888,0.23528,0.64964,0.32365,0.16103,0.22999,0.63504,0.30135,0.14445,1.40626,7.81505,7.2838,2.30592,0.000789775,0.000789775,0.000789775
9,1091.51,0.99388,1.79195,1.04766,1.18608,0.22909,0.59854,0.23337,0.12047,0.21934,0.60584,0.20627,0.09356,1.27394,5.28645,8.87275,2.46459,0.000869827,0.000869827,0.000869827
10,1210.77,1.02973,1.70505,1.1717,1.26435,0.20853,0.32117,0.14407,0.06363,0.18009,0.27737,0.12149,0.04747,1.48508,7.44141,31.9407,3.17089,0.000945259,0.000945259,0.000945259
11,1330.25,0.99545,1.68105,1.09176,1.23173,0.18842,0.78102,0.26149,0.1363,0.18532,0.75912,0.2507,0.11572,1.23645,4.30304,12.2291,2.21069,0.00101607,0.00101607,0.00101607
12,1449.54,1.03065,1.79323,1.10924,1.25767,0.20248,0.80292,0.23296,0.12608,0.17044,0.67883,0.15338,0.06964,1.33513,6.86542,15.518,2.37624,0.00108226,0.00108226,0.00108226
13,1569.3,0.99289,1.66903,1.00951,1.19416,0.53442,0.62774,0.52609,0.27924,0.38801,0.46715,0.29402,0.13079,1.35384,7.87827,4.46662,2.3417,0.00114383,0.00114383,0.00114383
14,1688.32,1.00345,1.65563,1.01952,1.21169,0.19756,0.59854,0.26816,0.13368,0.18069,0.54745,0.20977,0.08729,1.42616,6.63893,11.6024,2.58177,0.00120078,0.00120078,0.00120078
15,1807.38,0.96327,1.57282,0.95083,1.19954,0.21743,0.62044,0.23081,0.11385,0.24881,0.69386,0.30707,0.13939,1.75145,3.86061,9.36914,2.62378,0.00120491,0.00120491,0.00120491
16,1926.8,0.97852,1.60065,0.95411,1.16877,0.31632,0.65693,0.36609,0.2127,0.31281,0.64964,0.35878,0.1974,1.20979,3.1193,5.24275,1.80482,0.0011719,0.0011719,0.0011719
17,2045.51,0.95184,1.61646,0.93414,1.18385,0.27404,0.60584,0.35241,0.20682,0.31272,0.56934,0.39546,0.19866,1.3127,2.73324,4.06196,2.02813,0.00113889,0.00113889,0.00113889
18,2164.36,0.94845,1.51828,0.88694,1.18002,0.24833,0.74997,0.28247,0.16355,0.25261,0.67883,0.30796,0.15611,1.05434,2.87227,5.30856,1.63201,0.00110589,0.00110589,0.00110589
19,2283.48,0.94167,1.67785,0.93205,1.19602,0.30651,0.64845,0.41926,0.21406,0.36931,0.63504,0.43717,0.22974,1.1786,2.48643,3.79174,1.65246,0.00107288,0.00107288,0.00107288
20,2404.36,0.93039,1.5491,0.88841,1.15611,0.53428,0.76642,0.55193,0.33527,0.53428,0.76642,0.54519,0.32317,1.25943,2.51211,2.56674,1.72046,0.00103987,0.00103987,0.00103987
21,2524.38,0.93065,1.51767,0.81349,1.16261,0.47464,0.61314,0.47236,0.28002,0.48594,0.62774,0.4678,0.26595,1.27927,2.75675,2.66471,1.67859,0.00100687,0.00100687,0.00100687
