epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.596,1.42876,3.64257,2.73577,1.55516,0.30569,0.44313,0.27305,0.18469,0.2873,0.44857,0.24925,0.12811,0.89783,2.74572,3.86851,1.22681,0.00010002,0.00010002,0.00010002
2,259.105,1.06152,2.45337,1.73593,1.26353,0.87201,0.36131,0.51077,0.29758,0.85573,0.35095,0.49074,0.27221,1.21974,2.7062,2.68519,1.42861,0.000212419,0.000212419,0.000212419
3,379.649,0.98413,2.06735,1.38251,1.18067,0.69859,0.53245,0.57663,0.36043,0.69296,0.52877,0.5639,0.30528,1.2036,3.78332,2.51137,1.44265,0.000320197,0.000320197,0.000320197
4,514.631,1.00859,2.19941,1.31726,1.2093,0.47792,0.73052,0.52504,0.32169,0.48024,0.73782,0.53787,0.29609,1.13624,2.92951,4.58982,1.40965,0.000423355,0.000423355,0.000423355
5,649.473,1.1167,2.19094,1.47511,1.29311,0.27141,0.55183,0.24141,0.1302,0.25393,0.46789,0.20809,0.08624,1.19749,7.51228,9.66387,1.56014,0.000521891,0.000521891,0.000521891
6,784.762,0.98552,2.02604,1.16099,1.2203,0.34202,0.60325,0.36368,0.19088,0.31247,0.48825,0.30299,0.12946,1.46627,7.33205,5.66669,1.90719,0.000615806,0.000615806,0.000615806
7,921.626,1.04874,2.03486,1.09137,1.19175,0.30664,0.4921,0.2513,0.11721,0.22757,0.38427,0.13781,0.05399,1.62064,14.2579,5.80983,2.26129,0.000705101,0.000705101,0.000705101
8,1055.57,1.1638,2.30418,1.20081,1.28568,0.26184,0.67074,0.36448,0.15815,0.24852,0.55932,0.3001,0.12145,1.46994,10.4574,5.51752,2.20101,0.000789775,0.000789775,0.000789775
9,1190.08,1.04068,1.9961,1.10319,1.18734,0.31563,0.49184,0.29545,0.14216,0.3044,0.47538,0.28014,0.12339,1.53539,5.75902,4.66532,2.2701,0.000869827,0.000869827,0.000869827
10,1323.68,1.04476,2.02063,1.17202,1.24993,0.20388,0.51745,0.2177,0.11121,0.21473,0.4428,0.20747,0.0867,1.68396,9.34042,7.15322,2.26264,0.000945259,0.000945259,0.000945259
11,1458.66,1.06814,1.77706,1.08966,1.22699,0.35063,0.4428,0.30004,0.15154,0.36386,0.46835,0.32283,0.13998,1.63653,4.61328,9.12789,2.2184,0.00101607,0.00101607,0.00101607
12,1593.93,1.09994,2.00952,1.13964,1.25906,0.32668,0.36795,0.24035,0.10327,0.32588,0.37525,0.23708,0.08715,2.15483,7.22,11.5019,3.50404,0.00108226,0.00108226,0.00108226
13,1730.02,1.06068,1.90619,1.01169,1.17617,0.36659,0.48957,0.36593,0.18112,0.36659,0.48957,0.36345,0.15514,1.74164,4.71907,6.10161,2.51431,0.00114383,0.00114383,0.00114383
14,1865.83,1.03324,2.03314,1.03452,1.19083,0.55265,0.58108,0.47968,0.2653,0.47624,0.59973,0.48511,0.26384,1.34555,3.10151,4.78757,2.15312,0.00120078,0.00120078,0.00120078
15,2008.32,1.1204,1.96216,1.06922,1.24124,0.48603,0.53998,0.47486,0.27216,0.53484,0.5576,0.48477,0.24342,1.31609,2.88344,3.91593,1.95454,0.00120491,0.00120491,0.00120491
16,2128.47,1.01418,1.91408,1.01406,1.18434,0.43289,0.63616,0.52243,0.31363,0.4364,0.62887,0.50595,0.28128,1.23301,2.87093,3.5671,1.6529,0.0011719,0.0011719,0.0011719
17,2248.52,1.00825,1.82656,0.93803,1.19695,0.54014,0.64111,0.55302,0.3324,0.54662,0.65205,0.55105,0.2843,1.28797,2.8931,2.65881,1.7589,0.00113889,0.00113889,0.00113889
18,2370.44,1.00018,1.72905,0.91464,1.17368,0.64483,0.62342,0.59403,0.34844,0.63638,0.61248,0.57891,0.33779,1.25662,2.99075,2.46406,1.79671,0.00110589,0.00110589,0.00110589
19,2490.22,0.99176,1.87972,0.88675,1.18186,0.54812,0.60305,0.53589,0.30376,0.54569,0.65511,0.56157,0.29882,1.38493,2.5069,2.34834,1.78997,0.00107288,0.00107288,0.00107288
20,2610.38,0.95605,1.77874,0.86624,1.14332,0.52803,0.67067,0.61779,0.37595,0.51275,0.65793,0.59921,0.35225,1.21685,2.46464,3.20317,1.71053,0.00103987,0.00103987,0.00103987
